keys,values
".regex ^s\\..*hatch$.*|.*steph.*hatch.*|^hatch, s.*.l..*|.*s.l. hatch.*|.*sl hatch.*|.*s. l. hatch.*|^stephan l. hatch$|.*hatch, sl.*",stephan l. hatch
.regex .*steph.*c.*he.*,stephen c. helfert
".regex ^o'kane, jr., steve.*|^steve l. o'kane, jr.*",steve l. o'kane
.regex ^s.*steph.*,steve stephens
".regex ^s.*a.*thompson.*|^thompson, s.a.*",sue a. thompson
.regex ^s.*thomps.*|^thomps.*s.*,sue a. thompson
.regex .*bennet.*,t. bennet
.regex .*cockerel.*,theodore dru alison cockerell
.regex ^t.*reev.*,t. reeves
.regex .*adams.*t.*|^t.*adams.*,thomas p. adams
.regex ^t. r. van devender.*|^t.r. van devender|^van devender.*|^thomas r. van devender.*,thomas roger van devender
.regex ^smith.*v.*|^v.*smith.*,vernette smith
.regex .*archer.*,w. a. archer
.regex .*^w.*reed$,w. g. reed
.regex ^w.*carr.*|^r.*carr.*,w. r. carr
.regex ^w.*weck.*|^weck.*,w. weckesser
.regex .*wan.da*,wanda mphinyane
.regex ^w.*wagner.*,warren l. wagner
.regex ^william.*we.*|^weber.*|^w.*weber.*,william a. weber
.regex .*andrew.*c.*,william andrew archer
.regex .*will.*h.*rei.*|^w.*reid.*,william h. reid
.regex .*chapline.*,william r. chapline
.regex ^worth.*|^r..*worth.*|^d..*worth.*,richard dane worthington
.regex  ^o.*met.*,orrick baylor metcalfe
.regex  ^p.*standley.*,paul carpenter standley
